Folder,Caption,Label
caption_1034,Periodical cicadas will begin emerging next month in parts of five states.,Science
caption_10346,A sample of the virus that causes Lassa fever as seen through a transmission electron microscope.,Science
caption_10348,Patrick Mahomes walking off the field after the win.,Sports
caption_10354,Erik Sorto is able to give himself a drink for the first time in 10 years thanks to a neural prosthetic device implanted in his posterior parietal cortex.,Science
caption_10359,"On weekends, 5 de Mayo Food Market in Jackson Heights, Queens, operates a mini-taqueria in the back of the store.",Food
caption_10366,A young lion in Nairobi National Park in Kenya. Their numbers in Africa have dropped 43 percent in the past 20 years.,Science
caption_10367,"SpaceIL's control room in Yahud, Israel, during last year's Beresheet mission, shortly before the spacecraft crashed into the moon.",Science
caption_10369,Manchester City has won four Premier League titles since 2012.,Sports
caption_10372,Scientists wonder if shy elk compensate for their bashfulness by accepting the grooming magpies.,Science
caption_10383,Denny Hamlin led a 1-2-3 finish for Joe Gibbs Racing at the Daytona 500 on Sunday.,Sports
caption_10389,Safety Landon Collins has led the Giants in tackles in each of his four seasons.,Sports
caption_10392,The Boston Pride seemed to gain a clear advantage over other teams after being purchased by a venture capitalist in 2019.,Sports
caption_10396,"This salt cellar is made at UrbanGlass, a nonprofit studio in Fort Greene, Brooklyn.",Food
caption_104,"Brian Bartels, author of &ldquo;The United States of Cocktails,&rdquo; outside his bar, Settle Down Tavern, in Madison, Wis.",Food
caption_10421,"The ""Cheerios effect"" explains why solid objects clump together when floating in a liquid. Scientists recently described an ""inverted Cheerios effect"" to show how liquids can sometimes repel one another.",Science
caption_10422,Sloane's viperfish,Science
caption_10425,"There is no such thing as a perfect roast chicken, but this slow-roasted number with oregano and buttered tomatoes comes close.",Food
caption_10429,A black rhino ran around in a holding pen after being flown from South Africa.,Science
caption_1043,"The image released by NASA, sent to Earth on Monday, showed Pluto, left, and its moon, Charon, presented in false colors to make differences in surface material and features easy to see.",Science
caption_10430,"Bats have been shown to pollinate durians, a type of valuable fruit in Indonesia.",Science
caption_10433,"The starry core of our spiral Milky Way galaxy, in an infrared image from NASA Spitzer Space Telescope. Obscured behind it is the South Pole Wall, a curtain of thousands of galaxies across at least 700 million light-years.",Science
caption_10434,"A.J. Hinch, left, and Jeff Luhnow in 2017.",Sports
caption_10436,"Red snapper with string beans at Osteria 57, which the New York SoHo chapter of the Accademia Italiana della Cucina reviewed this summer.",Food
caption_10439,Zion Williamson is expected to make his debut for the New Orleans Pelicans on Wednesday against the Spurs.,Sports
caption_10444,Zion Williamson of Duke with his teammates on Wednesday at Cameron Indoor Stadium.,Sports
caption_10456,"Robert K. Kraft, the owner of the New England Patriots, made his first public comments since being charged with soliciting prostitution in Jupiter, Fla. last month.",Sports
caption_10460,The Brooklyn Kitchen is taking its cooking classes to Zoom.,Food
caption_10464,Dabo Swinney and Trevor Lawrence celebrated a national title.,Sports
caption_10465,"""I have never heard of ramisco being able to grow anywhere else, and I know a lot of people tried,"" Nuno Ramilo said. His family's business, Casal do Ramilo, has been making wines from the clay soils in the Colares region of Portugal since 1937.",Food
caption_10483,"Cal's final game, at Washington State, was called before the players took the field.",Sports
caption_10495,"Fossil beaks of two specimens of a prehistoric bird, Lithornis promiscuus, showing the beak shape, top, and the high degree of pitting preserved on the surface of the beak bones.",Science
caption_10497,Wine is particularly susceptible to climate change because the grapes are vulnerable to the nuances of weather.,Food
caption_105,"Preparing for her first Thanksgiving dinner, Mayada Anjari roasted a turkey in her kitchen in Jersey City.",Food
caption_10502,"An artist's rendering of a hyolith, which scientists now say, after studying its fossils, was a member of the brachiopod family.",Science
caption_10507,Grilled roast chicken with spinach-ricotta crostini.,Food
caption_10510,Seasonal fruit drinks from L.A. Burdick Chocolates Shop and Café in SoHo.,Food
caption_10530,Roasted asparagus and scallion salad.,Food
caption_10531,Consider this lobster recipe: an intimate supper for two that's easy to prepare and for those who'd rather not wear a bib.,Food
caption_10532,Bittersweet chocolate ganache adds a fudgy bite but isn't cloying.,Food
caption_10549,"Thomas Greiss, right, replaced Semyon Varlamov after Varlamov allowed three goals in the first period of Game 2.",Sports
caption_10560,Chicago&rsquo;s Jose Abreu and Atlanta&rsquo;s Freddie Freeman were named the most valuable players of the American and National leagues on Thursday.,Sports
caption_10566,A so-called eternal flame flickers between rocks at Turkey&rsquo;s Olympos Beydağları National Park.,Science
caption_10568,"""Chiltern Firehouse: The Cookbook"" has recipes and the inside story of a famed London hotel and restaurant.",Food
caption_10579,"A Great White shark near Dyer Island, South Africa.",Science
caption_10583,"Phloeodes diabolicus, the ironclad beetle.",Science
caption_10590,Sister Megan Rice at the Isaiah Wall near the United Nations.,Science
caption_10598,Buffalo Coach Nate Oats sharing his thoughts with an official last month.,Sports
caption_1060,The Yankees will need a lot more than ace Gerrit Cole to get through the playoffs in the modified format.,Sports
caption_10612,"Walter Kohn receiving an honor from Harvard in 2012. ""Physics isn't what I do,"" Dr. Kohn once said. ""It is what I am.""",Science
caption_10614,An iceberg in the western Antarctic peninsula. The great ice sheets on the continent are starting to melt.,Science
caption_10617,"The lemons are ready when they have some good char on the cut surfaces (black stripes are good here, not bad) and have softened enough to collapse easily when gently squeezed with tongs.",Food
caption_1062,"Sofia Kenin after taking the first set from Ashleigh Barty, the world No. 1, at the Australian Open.",Sports
caption_10627,The Yankees are hoping a healthy Gary Sanchez can improve on his difficult 2018 season.,Sports
caption_10633,Adam Gase is still coaching the Jets despite an 0-11 record.,Sports
caption_10641,Tottenham's stadium was supposed to change the club's fortunes. The world changed instead.,Sports
caption_10645,Researchers traced the origins of two subtypes of H.I.V.-1. One strain seems to have passed to humans from gorillas.,Science
caption_10657,Gio Urshela walked off after making the final out of the Yankees' season in a Game 5 loss to the Rays on Friday.,Sports
caption_10660,"A North Atlantic right whale and a calf off the coast of Georgia in 2009. The older whale, named Punctuation, was found dead on June 20.",Science
caption_10672,Hot dogs cooking on the grill for the taste test.,Food
caption_10679,"A mammoth skeleton on display in Las Vegas in 2009. One of the last populations of the species went extinct on a remote Alaskan island about 5,600 years ago.",Science
caption_10691,"Lobio, a traditional dish from Georgia, combines red beans with browned and raw onions, garlic and herbs.",Food
caption_10693,People walked by a Nike advertisement featuring Colin Kaepernick in New York in September.,Sports
caption_10701,"A screen grab of Emily Graslie's channel, The Brain Scoop, from a recent episode about skunk dissection.",Science
caption_10705,"The Orioles' outfielders — from left, Ryan Mountcastle, Mason Williams and D.J. Stewart — after their win over the Yankees on Sunday.",Sports
caption_10709,"Troy Tulowitzki, 34, has not played a major league game since 2017, but the Yankees are counting on him at shortstop until Didi Gregorius returns.",Sports
caption_10710,Alabama was No. 1 in the initial rankings by the College Football Playoff selection committee.,Sports
caption_10712,Casey Kreiter tried for a fumble recovery on Monday night. Little went right for the Giants in the game.,Sports
caption_10716,Grilled cheese.,Food
caption_10721,Jerusalem lamb shawarma.,Food
caption_10722,"North Korea's leader, Kim Jong-un, center, touring the Pyongyang Bio-Technical Institute, in a photo released in June 2015 by the North Korean news agency.",Science
caption_10731,"A last sunset seen from aboard the Polarstern, an icebreaker on a mission to study Arctic ice.",Science
caption_10734,Spinach artichoke dip.,Food
caption_10735,Brayden Point celebrated the game-winning goal against the Columbus Blue Jackets.,Sports
caption_10742,"Speaking about the way the coronavirus has ravaged Italy, Danilo Gallinari, the country's pre-eminent export to the N.B.A., said, ""Hopefully we're not going to make the same mistake in the States.""",Sports
caption_10747,"Stephen Curry's mastery of outside shooting led to two M.V.P. Awards, but current rules enforcement is leaving outside shooters open more often.",Sports
caption_10751,Ice cream sandwiches on sticks at Popbar in Manhattan.,Food
caption_10755,"This snail, named George, died on Jan. 1. Scientists believe he was the last of his species, which was native to the Hawaiian island of Oahu.",Science
caption_1076,"Rory McIlroy was in the final group of the Arnold Palmer Invitational on Sunday, but a par 72 was not enough to close out a win.",Sports
caption_10760,"The British chef Rory Macdonald in his new bakery, Pâtisserie Chanson, in Manhattan.",Food
caption_10764,Carroll Hardy with his baseball memorabilia in 1986. He played eight seasons in the major leagues but is remembered mostly for one at-bat.,Sports
caption_10767,"Dr. Marcia McNutt, the editor-in-chief of Science, co-authored new guidelines to improve transparency of data, methods and materials in published studies.",Science
caption_10775,The four-time Olympic gold medalist Hayley Wickenheiser voiced her concerns over holding the Tokyo Games before their postponement.,Sports
caption_10782,An image of regenerated bone grown from stem cells.,Science
caption_10785,A dead yellow-bellied sea snake was found in Huntington Beach in Southern California.,Science
caption_1079,Marchers taking to the streets in Washington.,Science
caption_10790,"U.F.C. intends to hold its next pay-per-view event on tribal land in Central California, making an end run around state and federal regulation and public health guidance.",Sports
caption_10792,"An artist's rendering of Lingwulong shenqi, a newly discovered dinosaur unearthed in northwestern China.",Science
caption_10795,Anthony Davis has not appeared in a game for the New Orleans Pelicans since Jan. 18.,Sports
caption_10796,"Melia Marden, left, and Matt Kliegman at Smile to Go in Dumbo, Brooklyn, the second takeout location of their full-service restaurant, Smile. It is set to open Monday.",Food
caption_10802,"Maximum Security, right, crossing the finish line first at the  Kentucky Derby last year. A disqualification turned the victory over to Country House, center.",Sports
caption_10806,The Comet SWAN C/2020 F8 seen on May 2.,Science
caption_10808,"Professional dart world champions, they're just like us. Gary Anderson's issues with his WiFi have kept him out of the Professional Darts Corporation's Home Tour.",Sports
caption_10811,"Edward Humes in Los Angeles, where the 405 freeway crosses Sunset Boulevard.",Science
caption_10813,"The U.S. Olympic Trials Marathon in 2012. This year's version, on Saturday, will be a lot bigger than those in the past.",Sports
caption_10814,"Silvio De Sousa of Kansas, left, was in the thick of a late-game brawl.",Sports
caption_10819,Alison Roman's vinegar chicken with crushed olive dressing.,Food
caption_10821,"Alex Ovechkin of the Capitals has 128 power-play goals in the past seven seasons, far and away the most in the N.H.L. He represents the success of the 1-3-1 formation in making power plays more potent today.",Sports
caption_10826,"The Kenyan runner Ben Jipcho, left, congratulates his teammate Kip Keino on his gold medal win in the men&rsquo;s 1,500-meter race at the 1968 Summer Olympics. &ldquo;I had to sacrifice to set the pace because we wanted the gold medal for Kenya,&rdquo; Jipcho later said.",Sports
caption_10829,The wine panel tasted Morgon and Fleurie wines from the 2014 vintage.,Food
caption_10848,"Dr. Gino Caspari, right, during a geophysical survey of a royal Scythian tomb in southern Siberia in 2018.",Science
caption_10850,Henri Bonneau had little use for modern methods of wine production.,Food
caption_10852,"The magician Byrne Perkins, left, using hypnosis on Herbert Easley in 1952. Researchers at Stanford have found that some parts of the brain function differently under hypnosis than during normal consciousness.",Science
caption_10858,Murray's Preserved Pumpkin.,Food
caption_10862,"Dallas Wings guard Allisha Gray, center, has made her mark this season in the starting lineup and coming off the bench.",Sports
caption_10864,The Marlins after their game against the Phillies in Philadelphia on Sunday.,Sports
caption_10866,"Arthur Ashe Stadium seats nearly 24,000 fans. If the United States Open is played this year, the seats will most likely be empty.",Sports
caption_10867,A Rapid DNA machine can reveal whether an individual's DNA matches genetic evidence collected from a local crime.,Science
caption_10877,"Jimmy Butler, center, led the Miami Heat to a surprising upset of the No. 1-seeded Milwaukee Bucks.",Sports
caption_10884,D'Angelo Russell lasted a little more than half a season as a Golden State Warrior.,Sports
caption_10889,"An artist's rendition of Psyche, the asteroid that is the target of a NASA mission in the next decade. Planetary scientists speculate it was once the nickel-iron core of a small planet.",Science
caption_109,"An arrest warrant was issued in Louisiana for the star N.F.L. receiver Odell Beckham Jr., who appeared to slap the backside of a security officer while celebrating Louisiana State winning college football's national title.",Sports
caption_10902,"Kam and Summer Johnson, with their children Zoe and Zach, at their honey stand inside Chelsea Market in Manhattan.",Food
caption_10908,Sofia Kenin celebrating after winning a point against Coco Gauff at the Australian Open in Melbourne on Sunday.,Sports
caption_10909,"From left, Luigi Maffini Cilento Fiano Kratos 2016, Cantina Giardino Campania Fiano I.G.P. Gaia 2016 and Ciro Picariello Irpinia Fiano 2015.",Food
caption_10917,"Deivi Garcia is small for a starting pitcher, and doesn't have an overpowering fastball, but he uses a deceptive delivery to fool batters.",Sports
caption_10920,"Nasrin, a refugee from Iran who lives in Queens, preparing falafel in the basement kitchen of Taim in NoLIta.",Food
caption_10927,Wisconsin had to cancel two football games this season due to coronavirus outbreaks on the team.,Sports
caption_10940,"Only two percent of the population needs to have done a DNA test to identify nearly everyone else, researchers found.",Science
caption_10944,"Bacteria are responsible for the delicious taste of salami, although industrial microbes do not yield as tasty dried sausages as wild microbes.",Science
caption_10946,Miso chicken.,Food
caption_10955,"At Sara Kramer's restaurant Kismet, dishes that seem simple, like Persian cucumbers, contain complex flavors.",Food
caption_10959,"From left, Nicolas Joly Savenni&egrave;res Les Vieux Clos 2015, Thibaud Boudignon Savenni&egrave;res Les Fougerais 2015 and Domaine du Closel Savenni&egrave;res La Jalousie 2015.",Food
caption_10964,"The Global Airborne Observatory, a lidar-equipped laboratory designed to map coral reefs from above, flying over St. Croix, U.S. Virgin Islands.",Science
caption_10966,The terrace at Electric Lemon.,Food
caption_10967,"A Little League game in Cayey, P.R., in November 2018.",Sports
caption_1097,"Light pillars in Sun Valley, Idaho.",Science
caption_10974,"The coronavirus has changed the French Open for all players, even its 12-time champion Rafael Nadal.",Sports
caption_10988,"If the Tokyo Games cannot be held on their rescheduled dates in 2021, they will be canceled, the president of the International Olympic Committee has said.",Sports
caption_11019,"The United States led a boycott of the 1980 Summer Olympics in Moscow. While 65 nations refused to participate in the Games, 80 nations did.",Sports
caption_1102,"Serve beets as you would an elegant baked potato — topped with dollops of crème fraîche, dill, chives and sprigs of cilantro.",Food
caption_11025,The chef JJ Johnson at FieldTrip in Harlem.,Food
caption_11029,Samantha Seneviratne's creamy Key lime bars with vanilla wafer crust.,Food
caption_11037,Bees follow colored patterns on snapdragon flowers to find the nectar.,Science
caption_11042,"Pinhook, a maker of bourbon, has introduced its straight rye whiskey.",Food
caption_11047,"Fayick Suleman on his daily rounds. He has been a restaurant health inspector since 2010, when New York City began assigning letter grades.",Food
caption_11049,"The mighty, fearsome, frond-feasting crocodylomorph Simosuchus.",Science
caption_1105,"The Chiefs are the No. 1 seed in the A.F.C. playoffs, but their defense finished last or second-to-last in passing yards, total yards and yards per rush.",Sports
caption_11053,Alice Waters has not shopped in a conventional grocery store for 25 years. She visited this farmers market in Denver in July.,Food
caption_11060,Preparing to watch the Perseid meteor shower in Rocky Mountain National Park in Colorado in August.,Science
caption_11067,The Washington Football Team majority owner Daniel Snyder could expand his stake in the team.,Sports
caption_11068,"The chef Christopher Cryer, and the view from Peak.",Food
caption_11092,"The entrance to Dartmoor prison in Devon, England. A recent study estimated the annual carbon footprint of crime in England and Wales, and found that reducing crime could actually cause society's overall carbon footprint of society to increase.",Science
caption_11106,"The artist Tyrrell Winston replaced a basketball net at Cooper Park in Brooklyn. ""Weather is my favorite assistant,"" he says.",Sports
caption_11108,Tara VanDerveer coaching during the Pac-12 tournament in March. The cancellation of the rest of the conference tournament and the N.C.A.A. tournament left her four wins shy of tying Pat Summitt entering the 2020-21 season.,Sports
caption_11114,Orange beef.,Food
caption_11120,"A fossilized skull of Homo floresiensis, the small hominin discovered in Indonesia. Scientists hypothesized that modern humans living in a village nearby might share the species' DNA.",Science
caption_11131,Tony Clark on Wednesday defended the players' union's role in the Astros investigation.,Sports
caption_11132,"Dan Snyder, above, the Washington team's owner, is conducting a review of the team's name and logo while overhauling the organization's front office alongside its new head coach, Ron Rivera.",Sports
caption_11134,"Fans watching the Los Angeles F.C. team bus depart from the training facility. The team will not have Carlos Vela, the reigning M.L.S. most valuable player.",Sports
caption_11137,"Members of a ski patrol using dynamite in Tignes, France, to prevent the danger of an avalanche in the area.",Science
caption_11145,Dan Le Batard on the set of the ESPN show &ldquo;Highly Questionable&rdquo; in 2014.,Sports
caption_11153,"An artist's rendering of the New Horizons spacecraft's approach to Pluto and its moon, Charon. The mission has already revealed unexpected things about the dwarf planet and its moons.",Science
caption_1116,Alex Olmedo in action against Neale Fraser of Australia in 1959. He defeated Fraser in four sets for the Australian championship.,Sports
caption_11163,Sarah Copeland's green shakshuka.,Food
caption_11177,"Robert K. Kraft, the Patriots' owner, has pleaded not guilty in Florida on charges of soliciting prostitution.",Sports
caption_11188,"Frederico Varandas, president of one of Portugal&rsquo;s biggest soccer teams, is a doctor who has treated coronavirus patients.",Sports
caption_1119,"""She saved my life and I cannot say it better than that,"" Jonathon Irons said of Maya Moore in a phone interview.",Sports
caption_11206,"In 2016, Shaunae Miller sprawled across the finish line to win an Olympic gold medal over Allyson Felix. They will race again this summer – virtually.&nbsp;",Sports
caption_11217,Steve Nash was hired as the coach of the Brooklyn Nets.,Sports
caption_11219,Finely grated Parmesan and minced olives give a savory taste to these mini-madeleines.,Food
caption_1122,"The Big Ten includes powerful football teams like Ohio State, Wisconsin and Penn State.",Sports
caption_11223,A fox and some birds were captured by a remote camera scavenging the reindeer carcasses.,Science
caption_11233,Diego Schwartzman is one of the shortest contenders in men's tennis — and he recently beat Rafael Nadal on red clay. The circumstances of this French Open could line up in his favor.,Sports
caption_11235,"Tim Tebow during his first workout at the Mets&rsquo; spring training facility in Port St. Lucie, Fla., on Saturday.",Sports
caption_11252,"Zack Wong, a 17-year-old forward for the Lower Merion High School basketball team, practiced free throws with a friend after his team's season was suspended because of the coronavirus pandemic.",Sports
caption_11260,"A vacuum chamber used to test parts of Astroscale's IDEA OSG 1 satellite at the company's factory in Tokyo. The satellite, scheduled to be launched next year, will compile data on the density of space debris.",Science
caption_11262,David Tanis's butter-braised asparagus.,Food
caption_11281,"The best Valpolicellas in the wine panel's test were quintessential Italian reds, balancing the flavors of sweet cherry fruit with a tart, earthy quality and a welcome bitterness that refreshed.",Food
caption_11284,"A site of hydraulic fracturing, or fracking, in Fox Creek, Alberta. A spate of earthquakes in Alberta within the past five years has been linked to fracking.",Science
caption_11286,"Sean Brock, right, at Husk in Nashville with his sous chef, James Wyatt.",Food
caption_11290,"Kawhi Leonard, center, and the Los Angeles Clippers will try to recapture the momentum they had in March when the season restarts on Thursday.",Sports
caption_11291,"Joseph Lenn, at J.C. Holdway in his hometown, Knoxville, Tenn., says his menu embraces international flavors, which were implicitly forbidden at Blackberry Farm.",Food
caption_11297,Maya Wilson's new book celebrates ingredient substitutions.,Food
caption_11310,"In Texas Hill Country, experimental winemakers are forging a new path.",Food
caption_11315,"Bill McKibben was arrested during a protest at Seneca Lake near Reading, N.Y., on March 7. He was protesting the proposed expansion of a natural gas storage facility.",Science
caption_11321,Belinda Bencic celebrating a point in her quarterfinal victory over fifth-seeded Karolina Pliskova at the BNP Paribas Open on Thursday.,Sports
caption_11324,Sam Sifton's beef rib roast.,Food
caption_11328,Left: A patch of sky about as big as the full moon where the MeerKAT telescope discerned the radio glow of about 200 galaxies. Only a few (circled) had been previously observed; Right: A distant galaxy with an explosive core powered by a black hole.,Science
caption_11331,"Utah Jazz wing Joe Ingles, 32, has played in every game since Dec. 16, 2015, the longest active streak in the N.B.A.",Sports
caption_11343,Brown crab claws recovered from the site.,Science
caption_11345,"To pull off vegetarian weeknight dinners, look to one-pot recipes like this Thai noodle dish.",Food
caption_11353,Ryan Newman's car was lifted into the air near the finish of the Daytona 500 on Monday.,Sports
caption_11357,"Great Orme Kashmiri goats on the streets of Llandudno, Wales.",Science
caption_11362,Toll House chocolate chip cookies.,Food
caption_11364,"Researchers studied the ribs of 152 individuals recovered from the boathouses of Herculaneum, the ancient Roman city destroyed in the eruption of Mount Vesuvius that also buried Pompeii.",Science
caption_11368,"NASA chose its 22nd class of astronauts — seven men and five women — from more than 18,300 applicants, the most the space agency has ever received.",Science
caption_11374,"Apollo 17, the final mission of NASA's Apollo program.",Science
caption_11383,"Grilled salmon salad with lime, chiles and herbs.",Food
caption_11386,Giant couscous cake with roasted pepper sauce.,Food
caption_11389,Chianti is an expression of the sangiovese grape.,Food
caption_11394,"Dominique Crenn, center, with her staff at Atelier Crenn, one of her San Francisco restaurants.",Food
caption_11397,UConn spent seven years in the American Athletic Conference and never lost a game.,Sports
caption_1140,Jimmy Butler led the Miami Heat to the N.B.A. finals with a surprising postseason run.,Sports
caption_11414,Johnny Watson&rsquo;s job is to help the teams in the N.B.A. bubble feel like they&rsquo;re playing at home through the use of music and graphics.,Sports
caption_11428,"Jalen Hurts, right, initially made cameos on gadget plays for the Eagles. But as Carson Wentz flailed, and Hurts moved the offense against the Packers on Sunday, the starting spot came into question.",Sports
caption_11433,"A new species of tarantula, Birupes simoroxigorum, was described from specimens alleged to have been taken illegally from Malaysia.",Science
caption_11434,Japan National Stadium in Tokyo would host the Olympics opening ceremony in July 2021.,Sports
caption_11437,A brandy designed for cocktails.,Food
caption_11439,Anthony Bourdain would tell you things that others would not.,Food
caption_11464,"Mr. Offerman, a longtime fan of Twain's work, had already lent his voice to two audiobooks of the author's work.",Food
caption_11481,"""A lack of diversity and inclusion is the single largest cultural problem facing the geosciences today,"" Kuheli Dutt, the diversity officer of Lamont-Doherty Observatory at Columbia University, wrote recently in Nature Geoscience.",Science
